,idx,data,sd,timestamp,fold
333,11791,27.340925925925923,0.1525253897324358,1622112554.8394322,6
334,11331,27.459,0.0,1622112557.0145,6
335,11341,27.46503558718861,0.008378850711521281,1622112564.189313,6
336,11351,27.47846368715084,0.004753425090612333,1622112575.6895308,6
337,10901,27.50865296803653,0.014316964036669697,1622112585.639525,6
338,10911,27.52570129870129,0.0055776259943887685,1622112596.889476,6
339,10461,27.550709090909088,0.006730994056729844,1622112608.1644185,6
340,10471,27.533548387096772,0.03027704198880837,1622112619.864246,6
341,10021,27.44399579831933,0.10265032010490752,1622112632.0141888,6
342,10031,27.142847107438016,0.18186330511631943,1622112644.0141487,6
343,9581,27.23111328125,0.22078315608557753,1622112656.464207,6
344,9591,27.031481171548116,0.06671445632804264,1622112668.8392053,6
345,9141,26.92695588235294,0.056081200012211306,1622112681.6142023,6
346,9151,27.13343347639485,0.23960700315490807,1622112694.2391844,6
347,8701,27.076028673835125,0.18898544225864772,1622112707.0391753,6
348,8711,26.907154185022026,0.14011306956248334,1622112719.689251,6
349,8261,27.036207482993195,0.2974943682285066,1622112732.7141972,6
350,8271,27.258915492957744,0.18263391740894389,1622112745.389183,6
351,7821,27.21504013377926,0.2204150502481665,1622112758.1891706,6
352,7831,27.465552238805966,0.06696987150217351,1622112769.0142162,6
353,7371,27.5226052631579,0.05058293839339217,1622112774.264171,6
354,7381,27.28558471760798,0.1491683823002596,1622112783.6891894,6
355,7391,27.5397619047619,0.035344434143770316,1622112791.7391903,6
356,6931,27.401314432989697,0.3085225001367932,1622112797.114165,6
357,6941,27.12897643097643,0.040862619265721926,1622112809.3891447,6
358,6491,27.06744247787611,0.06703425858431417,1622112822.4642787,6
359,6501,27.303359430604985,0.16746707008868536,1622112835.1392777,6
360,6051,27.43162445414847,0.05612959517399299,1622112847.8893669,6
361,6061,27.20123529411765,0.07399058319397239,1622112860.4143345,6
362,5611,27.166967741935487,0.04917905656454355,1622112873.414327,6
363,5621,27.187386363636367,0.050186417293090625,1622112886.2142537,6
364,5171,27.23533333333333,0.06913685530818374,1622112899.1141348,6
365,5181,27.328470588235295,0.05394345366929699,1622112911.7891452,6
366,4731,27.37344061302682,0.02886979154742964,1622112924.689138,6
367,4741,27.374161943319834,0.01173829372367826,1622112937.3892145,6
368,4291,27.37282656826568,0.010658200021889011,1622112950.339155,6
369,4301,27.38050638297872,0.01279806175909004,1622112962.9891233,6
370,3851,27.433571428571426,0.023918654661504356,1622112975.8641355,6
371,3861,27.480318385650218,0.017462373979995036,1622112988.4391837,6
